task_id,uid,status,runner,lane,elapsed_s,goose_total_tokens,shell_command_count,submit_answer_count,answer_write_count,has_exception,report_json,report_md,events_jsonl
officeqa-uid0015,UID0015,failed,officeqa-big-runner-02,,327.311,25141,13,0,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0015.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0015.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0015.jsonl
officeqa-uid0016,UID0016,failed,officeqa-big-runner-02,,576.544,32627,34,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0016.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0016.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0016.jsonl
officeqa-uid0017,UID0017,passed,officeqa-big-runner-01,,150.386,12787,14,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0017.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0017.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0017.jsonl
officeqa-uid0018,UID0018,failed,officeqa-big-runner-01,,707.691,55021,78,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0018.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0018.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0018.jsonl
officeqa-uid0019,UID0019,failed,officeqa-big-runner-01,,180.782,16826,14,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0019.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0019.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0019.jsonl
officeqa-uid0020,UID0020,failed,officeqa-big-runner-01,,242.493,14927,9,0,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0020.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0020.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0020.jsonl
officeqa-uid0021,UID0021,failed,officeqa-big-runner-02,,900.698,,55,0,0,True,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0021.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0021.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0021.jsonl
officeqa-uid0022,UID0022,failed,officeqa-big-runner-02,,900.083,,21,0,0,True,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0022.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0022.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0022.jsonl
officeqa-uid0023,UID0023,passed,officeqa-big-runner-02,,485.439,25856,22,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0023.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0023.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0023.jsonl
officeqa-uid0024,UID0024,passed,officeqa-big-runner-02,,342.501,13199,7,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0024.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0024.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0024.jsonl
officeqa-uid0025,UID0025,failed,officeqa-big-runner-01,,284.115,17480,12,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0025.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0025.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0025.jsonl
officeqa-uid0026,UID0026,failed,officeqa-big-runner-01,,687.811,68187,58,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0026.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0026.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0026.jsonl
officeqa-uid0027,UID0027,failed,officeqa-big-runner-01,,900.211,,36,0,0,True,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0027.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0027.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0027.jsonl
officeqa-uid0028,UID0028,failed,officeqa-big-runner-01,,900.163,,16,0,0,True,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0028.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0028.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0028.jsonl
